epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9906.3,0.76384,0.37703,0.96195,0.89703,0.92057,0.93047,0.74195,0.95548,0.41461,1.0165,0.00023764,0.00023764,0.00023764
43,10157,0.76118,0.37651,0.96353,0.90482,0.91709,0.93084,0.74024,0.94526,0.41141,1.01571,0.00023368,0.00023368,0.00023368
44,10329.8,0.75523,0.37149,0.96052,0.91234,0.91487,0.93176,0.73681,0.9775,0.41797,1.02143,0.00022972,0.00022972,0.00022972
45,10526.8,0.75278,0.37236,0.96121,0.9085,0.91846,0.93226,0.74045,0.97671,0.41457,1.02207,0.00022576,0.00022576,0.00022576
46,10709.6,0.74456,0.36786,0.95801,0.90694,0.91841,0.92991,0.73202,0.98049,0.41716,1.02587,0.0002218,0.0002218,0.0002218
47,10965.7,0.73875,0.36663,0.95487,0.90722,0.9169,0.93141,0.74486,0.93835,0.40552,1.01415,0.00021784,0.00021784,0.00021784
48,11104.9,0.73186,0.36377,0.95071,0.90466,0.91255,0.9301,0.7387,0.96288,0.41053,1.02012,0.00021388,0.00021388,0.00021388
49,11350.2,0.72586,0.36212,0.94845,0.90513,0.92098,0.93124,0.74434,0.93562,0.40274,1.01396,0.00020992,0.00020992,0.00020992
50,11489.8,0.72389,0.35808,0.94943,0.91099,0.91768,0.93065,0.73701,0.95965,0.40794,1.02125,0.00020596,0.00020596,0.00020596
51,11765.4,0.71983,0.35714,0.94906,0.90654,0.91598,0.92976,0.74416,0.93213,0.39882,1.01098,0.000202,0.000202,0.000202
52,11935.7,0.7121,0.35389,0.94649,0.90825,0.91733,0.93042,0.74082,0.9484,0.40076,1.01661,0.00019804,0.00019804,0.00019804
53,12193.8,0.70703,0.35164,0.94319,0.91351,0.91634,0.93076,0.74455,0.95019,0.40118,1.01745,0.00019408,0.00019408,0.00019408
54,12492,0.7035,0.3507,0.93997,0.90807,0.91989,0.93129,0.74476,0.9688,0.4026,1.02006,0.00019012,0.00019012,0.00019012
55,12776.3,0.69973,0.34899,0.93754,0.90362,0.91843,0.92991,0.74181,0.94447,0.4005,1.01709,0.00018616,0.00018616,0.00018616
56,13045.5,0.69586,0.3465,0.93934,0.90904,0.91818,0.93134,0.74241,0.94804,0.39818,1.01675,0.0001822,0.0001822,0.0001822
57,13295,0.69101,0.3457,0.93441,0.90364,0.91734,0.93134,0.74209,0.95117,0.39795,1.01704,0.00017824,0.00017824,0.00017824
58,13759.1,0.68627,0.34286,0.93431,0.90252,0.91943,0.93182,0.74505,0.94795,0.39704,1.01603,0.00017428,0.00017428,0.00017428
59,14095.8,0.6871,0.3441,0.93351,0.90597,0.92361,0.93173,0.74564,0.94827,0.39808,1.01786,0.00017032,0.00017032,0.00017032
