                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  1.809,                 1.2153,                  1.941,                0.71374,                 0.8526,                0.77051,                  0.343,                 1.8693,                  1.068,                 2.2608,              0.0005939,              0.0005939,              0.0005939
                     25,                 1.8137,                 1.2173,                 1.9486,                0.71698,                 0.8275,                0.79272,                0.36781,                 1.8125,                 1.1092,                 2.1992,             0.00058629,             0.00058629,             0.00058629
                     26,                 1.8108,                 1.2033,                  1.924,                0.71292,                0.83138,                0.77135,                0.32938,                 1.9526,                 1.0874,                 2.3455,             0.00057867,             0.00057867,             0.00057867
                     27,                 1.7997,                 1.1937,                 1.9277,                0.70982,                0.84351,                 0.7795,                0.35051,                 1.8452,                 1.0696,                 2.2302,             0.00057106,             0.00057106,             0.00057106
                     28,                  1.802,                 1.1999,                 1.9416,                0.70557,                0.83056,                0.77902,                0.33916,                  1.888,                 1.0922,                 2.2724,             0.00056345,             0.00056345,             0.00056345
                     29,                 1.7905,                 1.1825,                 1.9273,                0.72848,                0.84426,                0.80134,                0.37067,                 1.8143,                 1.0296,                 2.2048,             0.00055583,             0.00055583,             0.00055583
                     30,                 1.7479,                 1.1413,                  1.898,                0.68882,                0.82505,                0.76323,                0.33614,                 1.9135,                  1.077,                 2.3017,             0.00054822,             0.00054822,             0.00054822
                     31,                 1.7733,                 1.1467,                 1.9071,                0.72824,                0.85088,                0.79143,                0.36008,                 1.8374,                 1.0428,                 2.2273,             0.00054061,             0.00054061,             0.00054061
                     32,                 1.7779,                 1.1461,                 1.9022,                 0.7155,                0.87525,                0.79681,                0.37057,                  1.826,                 1.0011,                 2.2063,             0.00053299,             0.00053299,             0.00053299
                     33,                 1.7429,                 1.1179,                 1.8978,                0.72511,                0.85015,                0.78062,                0.33539,                 1.9438,                 1.0153,                 2.3362,             0.00052538,             0.00052538,             0.00052538
                     34,                 1.7511,                 1.1321,                 1.8814,                0.71913,                0.89197,                0.82073,                0.39003,                 1.7838,                0.98044,                 2.1717,             0.00051777,             0.00051777,             0.00051777
                     35,                 1.7376,                 1.1251,                 1.8826,                0.74171,                0.88197,                0.81661,                0.37993,                 1.8133,                0.98481,                  2.196,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.7574,                 1.1438,                 1.9016,                0.73979,                0.87284,                0.81057,                 0.3735,                 1.8105,                0.97625,                  2.198,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.7259,                 1.0904,                 1.8655,                0.74633,                0.87519,                0.82867,                0.39009,                 1.8091,                0.96403,                 2.1914,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.7346,                 1.0772,                 1.8913,                0.71594,                0.88342,                 0.8039,                0.36158,                 1.9016,                0.99411,                  2.288,             0.00048732,             0.00048732,             0.00048732
                     39,                 1.7059,                 1.0828,                 1.8576,                0.74977,                0.89236,                0.83259,                 0.3998,                 1.7666,                0.95948,                 2.1623,              0.0004797,              0.0004797,              0.0004797
                     40,                 1.7055,                 1.0658,                 1.8658,                0.74772,                0.87639,                0.82502,                0.39311,                   1.77,                0.96528,                 2.1727,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.7031,                 1.0636,                 1.8621,                0.74019,                0.86324,                0.80532,                0.34856,                 1.9223,                 1.0216,                 2.3236,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.7168,                 1.0591,                 1.8648,                0.73373,                0.88894,                0.83013,                0.39299,                 1.7724,                0.96154,                 2.1668,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.6987,                 1.0506,                 1.8611,                0.74085,                0.87171,                0.82316,                0.38055,                 1.8274,                0.96357,                  2.221,             0.00044925,             0.00044925,             0.00044925
                     44,                   1.69,                 1.0521,                 1.8326,                0.75327,                0.86266,                0.82819,                0.39537,                 1.7696,                 0.9409,                 2.1646,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.6853,                 1.0516,                 1.8485,                0.75054,                0.87996,                0.83563,                0.40569,                 1.7436,                0.95666,                 2.1437,             0.00043402,             0.00043402,             0.00043402
                     46,                 1.6711,                 1.0413,                 1.8234,                0.74366,                0.88486,                0.82745,                0.39566,                 1.7719,                0.92459,                  2.165,             0.00042641,             0.00042641,             0.00042641
                     47,                 1.6608,                 1.0214,                 1.8057,                0.76097,                0.86612,                0.82217,                 0.3947,                 1.7917,                 0.9331,                 2.1835,              0.0004188,              0.0004188,              0.0004188
                     48,                 1.6667,                 1.0049,                 1.8244,                0.75043,                0.88829,                0.83406,                0.39799,                  1.784,                0.94344,                 2.1669,             0.00041118,             0.00041118,             0.00041118
                     49,                 1.6133,                 1.0108,                 1.8021,                0.74773,                0.88248,                0.84018,                0.41335,                 1.7435,                0.91672,                 2.1449,             0.00040357,             0.00040357,             0.00040357
                     50,                 1.6533,                  1.003,                 1.8173,                0.75905,                0.88689,                 0.8402,                0.39278,                 1.8129,                0.92889,                 2.2009,             0.00039596,             0.00039596,             0.00039596
                     51,                 1.6242,                0.99655,                 1.8024,                0.76541,                0.87859,                0.83949,                0.39234,                 1.8349,                0.91869,                 2.2201,             0.00038835,             0.00038835,             0.00038835
                     52,                 1.6507,                 0.9999,                  1.815,                0.74897,                0.89625,                0.84291,                0.40351,                 1.7795,                0.91253,                 2.1769,             0.00038073,             0.00038073,             0.00038073
                     53,                 1.6181,                0.98497,                 1.8034,                0.75824,                0.90444,                0.84679,                0.40272,                 1.7577,                0.91681,                 2.1513,             0.00037312,             0.00037312,             0.00037312
                     54,                 1.6254,                0.98872,                 1.7758,                0.76656,                0.88752,                0.85088,                 0.4148,                 1.7561,                0.88373,                 2.1474,             0.00036551,             0.00036551,             0.00036551
                     55,                 1.6203,                0.97986,                 1.7959,                 0.7543,                0.89979,                0.85011,                0.41694,                 1.7401,                0.90457,                 2.1375,             0.00035789,             0.00035789,             0.00035789
                     56,                 1.6346,                0.99269,                  1.806,                 0.7662,                0.90378,                0.85863,                0.42139,                  1.731,                0.88229,                 2.1395,             0.00035028,             0.00035028,             0.00035028
                     57,                 1.5926,                0.97196,                 1.8057,                0.76396,                0.89788,                0.84971,                0.41562,                 1.7414,                0.87943,                 2.1414,             0.00034267,             0.00034267,             0.00034267
                     58,                 1.6058,                0.97458,                 1.8081,                0.75996,                0.91074,                0.86675,                 0.4295,                 1.7015,                0.88609,                 2.1055,             0.00033505,             0.00033505,             0.00033505
                     59,                 1.5759,                0.96619,                 1.7718,                0.75446,                0.90692,                0.86683,                0.43634,                 1.7183,                 0.8796,                 2.1182,             0.00032744,             0.00032744,             0.00032744
                     60,                 1.5633,                0.94313,                  1.747,                0.75825,                 0.8991,                0.85871,                0.42869,                 1.7209,                0.88063,                 2.1262,             0.00031983,             0.00031983,             0.00031983
                     61,                 1.5817,                0.94521,                 1.7714,                0.76464,                0.89773,                0.85909,                0.42998,                 1.7376,                0.88123,                 2.1416,             0.00031221,             0.00031221,             0.00031221
                     62,                  1.554,                0.93635,                 1.7612,                0.76032,                0.90653,                 0.8624,                 0.4248,                 1.7244,                0.87303,                 2.1351,              0.0003046,              0.0003046,              0.0003046
                     63,                 1.5401,                0.93419,                 1.7564,                0.78001,                0.89078,                0.86273,                0.41969,                 1.7444,                0.87571,                  2.163,             0.00029699,             0.00029699,             0.00029699
                     64,                 1.5534,                0.92598,                 1.7512,                0.76372,                0.91338,                0.87575,                0.43983,                 1.6747,                0.86843,                 2.0887,             0.00028937,             0.00028937,             0.00028937
                     65,                 1.5365,                0.93111,                 1.7433,                0.76257,                0.90456,                0.86113,                0.42427,                 1.7294,                0.86994,                 2.1406,             0.00028176,             0.00028176,             0.00028176
                     66,                  1.548,                0.93359,                 1.7561,                0.76407,                 0.9025,                0.85985,                0.43135,                 1.7273,                0.86506,                 2.1418,             0.00027415,             0.00027415,             0.00027415
                     67,                 1.5217,                0.90971,                 1.7286,                0.76468,                0.90596,                0.84971,                0.41259,                  1.739,                 0.8837,                 2.1589,             0.00026654,             0.00026654,             0.00026654
                     68,                 1.5344,                0.90729,                 1.7259,                  0.773,                0.91132,                 0.8725,                0.43716,                 1.7148,                0.85458,                 2.1217,             0.00025892,             0.00025892,             0.00025892
                     69,                 1.5238,                0.90041,                 1.7259,                0.78958,                0.89769,                0.87561,                0.43866,                 1.7034,                0.85765,                 2.1131,             0.00025131,             0.00025131,             0.00025131
                     70,                 1.5187,                0.90328,                 1.7141,                0.77896,                0.89244,                0.87004,                0.43953,                 1.7045,                 0.8521,                 2.1262,              0.0002437,              0.0002437,              0.0002437
                     71,                  1.504,                0.89832,                 1.7058,                0.77667,                0.90634,                0.87262,                0.44238,                 1.7101,                 0.8423,                 2.1363,             0.00023608,             0.00023608,             0.00023608
                     72,                 1.4967,                0.88649,                 1.7093,                0.77816,                0.91115,                0.87557,                0.45197,                  1.664,                0.83647,                   2.09,             0.00022847,             0.00022847,             0.00022847
                     73,                 1.4755,                0.87394,                 1.7044,                0.77397,                0.89102,                0.86375,                0.43629,                 1.7011,                0.85494,                 2.1207,             0.00022086,             0.00022086,             0.00022086
                     74,                 1.4862,                0.87903,                 1.7008,                0.77345,                0.91756,                0.88136,                0.45049,                 1.6683,                0.82344,                 2.0893,             0.00021324,             0.00021324,             0.00021324
                     75,                 1.4833,                0.88777,                 1.7146,                0.77116,                0.90287,                0.87272,                0.45209,                 1.6659,                0.82905,                 2.0986,             0.00020563,             0.00020563,             0.00020563
                     76,                  1.474,                 0.8659,                 1.6841,                 0.7786,                0.90254,                0.87111,                0.44725,                 1.6654,                 0.8432,                 2.0982,             0.00019802,             0.00019802,             0.00019802
                     77,                 1.4693,                0.87109,                 1.6831,                0.77221,                0.91569,                0.87895,                0.45687,                 1.6678,                0.82512,                 2.0933,              0.0001904,              0.0001904,              0.0001904
                     78,                 1.4739,                0.88132,                 1.6914,                0.76799,                0.90939,                 0.8693,                0.44447,                 1.6877,                0.84188,                 2.1216,             0.00018279,             0.00018279,             0.00018279
                     79,                 1.4431,                0.86282,                 1.6826,                0.79265,                0.89977,                0.87718,                0.44992,                 1.6707,                 0.8298,                 2.1041,             0.00017518,             0.00017518,             0.00017518
                     80,                 1.4587,                0.87516,                 1.6972,                0.78209,                0.90627,                0.87662,                0.45333,                 1.6728,                0.83375,                 2.1106,             0.00016757,             0.00016757,             0.00016757
                     81,                 1.4431,                0.86615,                 1.6778,                0.78868,                0.90466,                0.88655,                0.46276,                 1.6494,                0.81091,                 2.0792,             0.00015995,             0.00015995,             0.00015995
                     82,                 1.4454,                0.84664,                 1.6593,                0.78363,                0.90895,                0.88254,                0.45308,                 1.6791,                0.81893,                 2.1117,             0.00015234,             0.00015234,             0.00015234
                     83,                 1.4124,                0.82878,                 1.6463,                0.79039,                0.90407,                 0.8844,                0.46447,                 1.6441,                0.80857,                 2.0786,             0.00014473,             0.00014473,             0.00014473
                     84,                 1.4363,                0.84989,                 1.6614,                 0.7872,                0.92556,                0.88299,                0.46452,                 1.6306,                0.81282,                 2.0839,             0.00013711,             0.00013711,             0.00013711
                     85,                 1.4022,                0.83156,                 1.6492,                0.77042,                0.91196,                0.86954,                 0.4505,                 1.6707,                0.82505,                 2.1258,              0.0001295,              0.0001295,              0.0001295
                     86,                 1.3885,                0.81408,                 1.6211,                0.78648,                0.92181,                0.89553,                0.47621,                 1.6038,                0.79835,                 2.0507,             0.00012189,             0.00012189,             0.00012189
                     87,                 1.4142,                0.83974,                 1.6546,                0.76642,                0.92646,                0.88773,                0.46605,                 1.6222,                0.81392,                   2.07,             0.00011427,             0.00011427,             0.00011427
                     88,                 1.3846,                0.82693,                 1.6521,                0.78518,                0.91434,                0.88406,                0.46383,                 1.6304,                0.81633,                 2.0883,             0.00010666,             0.00010666,             0.00010666
                     89,                 1.3931,                 0.8223,                 1.6469,                0.78709,                0.91518,                0.88734,                0.45957,                 1.6409,                0.80522,                  2.091,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                 1.3633,                0.81173,                 1.6419,                0.77989,                 0.9153,                0.87542,                0.46101,                 1.6354,                0.81725,                 2.0966,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                 1.3918,                0.77688,                  1.764,                 0.7881,                0.92133,                0.88604,                0.46878,                 1.6163,                0.79578,                 2.0725,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                 1.3549,                0.75601,                 1.7222,                  0.788,                0.91851,                0.88809,                0.47395,                 1.6072,                0.79415,                 2.0669,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                 1.3586,                0.75661,                 1.7291,                0.78302,                0.92006,                0.88598,                0.46614,                 1.6311,                0.80303,                 2.0989,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                 1.3401,                0.75191,                 1.7134,                0.78719,                0.91611,                0.88346,                0.47078,                 1.6039,                0.80111,                 2.0715,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                 1.3274,                 0.7407,                 1.6946,                0.80151,                0.88685,                0.88655,                0.47462,                 1.6095,                0.79328,                 2.0811,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                 1.3258,                 0.7359,                 1.7067,                0.78279,                0.91327,                0.88862,                0.47645,                 1.6026,                 0.7932,                 2.0768,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                 1.3229,                0.73785,                 1.6967,                0.77598,                0.92755,                0.88912,                0.48143,                  1.604,                0.79353,                 2.0719,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                 1.2967,                0.71752,                 1.6749,                0.77887,                0.92035,                0.89069,                0.48033,                 1.5934,                0.79196,                  2.063,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                  1.308,                0.73664,                 1.6954,                0.78341,                0.92278,                0.89054,                0.47897,                  1.596,                0.78903,                 2.0762,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                 1.2978,                0.72155,                 1.6717,                0.78168,                0.92074,                0.88839,                0.47653,                 1.6079,                0.79308,                 2.0812,             1.5303e-05,             1.5303e-05,             1.5303e-05
