                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3626,                  4.258,                 3.8055,                  2e-05,                 0.0021,                  1e-05,                      0,                 3.4563,                 4.8169,                 4.1495,              0.0002538,              0.0002538,              0.0002538
                      2,                 2.4139,                 2.9728,                  2.766,                  0.129,                0.55406,                0.14956,                0.05609,                 2.1957,                 7.0812,                 2.7159,             0.00050508,             0.00050508,             0.00050508
                      3,                 2.2445,                 2.5569,                 2.4496,                  0.321,                0.49144,                0.29955,                0.11958,                  2.093,                 2.3438,                  2.608,             0.00075129,             0.00075129,             0.00075129
                      4,                 2.1843,                 2.3059,                  2.369,                0.27075,                0.50092,                0.31261,                0.11075,                 2.1658,                 2.2027,                 2.6349,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.1367,                 2.1125,                 2.2745,                 0.3995,                0.54637,                0.43978,                0.17671,                 2.0724,                 1.7994,                 2.4943,             0.00073855,             0.00073855,             0.00073855
                      6,                 2.0796,                 2.0072,                 2.2242,                0.33075,                0.58103,                0.35722,                0.14347,                 2.0468,                 2.0548,                 2.4255,             0.00073093,             0.00073093,             0.00073093
                      7,                 2.0459,                 1.9506,                 2.1758,                0.45733,                0.54634,                0.47075,                0.18429,                 2.0519,                 1.7985,                 2.4697,             0.00072332,             0.00072332,             0.00072332
                      8,                 2.0196,                 1.8165,                 2.1585,                0.46209,                0.66634,                0.52286,                0.21982,                  1.949,                 1.6776,                 2.3713,             0.00071571,             0.00071571,             0.00071571
                      9,                  2.006,                 1.7286,                 2.1553,                0.52095,                0.65577,                0.55565,                0.23337,                 1.9535,                 1.6303,                 2.3464,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.9774,                 1.6906,                 2.1127,                0.60087,                0.70501,                 0.6289,                0.24828,                 2.0454,                 1.5078,                 2.4027,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.9827,                 1.5973,                 2.1067,                0.61815,                 0.7181,                0.67206,                0.28976,                 1.9396,                 1.4063,                 2.3268,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.9579,                 1.5771,                 2.0922,                0.60902,                0.73863,                0.66651,                 0.2853,                 1.9189,                 1.3618,                 2.3225,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.9501,                  1.532,                 2.0924,                0.62304,                0.74947,                0.66871,                0.27208,                 1.9683,                 1.3993,                 2.3715,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.9301,                 1.4829,                 2.0569,                0.65905,                0.74516,                0.69155,                0.28082,                 1.9854,                 1.3264,                 2.3857,             0.00067003,             0.00067003,             0.00067003
                     15,                 1.9208,                 1.4434,                   2.05,                0.66564,                0.76866,                0.69194,                0.29125,                 1.9012,                 1.3103,                 2.2859,             0.00066242,             0.00066242,             0.00066242
                     16,                 1.8953,                 1.4295,                 2.0572,                0.65163,                0.82997,                0.72141,                0.30006,                 1.9317,                 1.2425,                 2.3084,              0.0006548,              0.0006548,              0.0006548
                     17,                 1.8927,                 1.3815,                 2.0117,                0.66378,                0.80279,                0.74458,                0.32853,                 1.9027,                 1.2089,                 2.2786,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.8505,                 1.3597,                  2.001,                0.67416,                0.81864,                0.73994,                0.31984,                 1.9281,                 1.1864,                 2.2915,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.8799,                 1.3335,                 1.9898,                0.68958,                0.80048,                 0.7425,                0.32412,                  1.895,                 1.1318,                  2.281,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.8422,                 1.2963,                  1.983,                0.68462,                0.82512,                0.74721,                0.31972,                 1.8942,                 1.2105,                 2.2902,             0.00062435,             0.00062435,             0.00062435
                     21,                 1.8292,                  1.271,                 1.9737,                0.66594,                 0.7879,                0.72557,                0.32257,                 1.8901,                 1.1943,                 2.2904,             0.00061674,             0.00061674,             0.00061674
                     22,                 1.8523,                 1.2594,                 1.9788,                0.67347,                 0.8165,                0.73634,                0.31909,                 1.9262,                 1.1369,                  2.303,             0.00060912,             0.00060912,             0.00060912
                     23,                 1.8581,                 1.2989,                 1.9901,                0.70165,                0.83999,                0.76378,                0.33134,                 1.9026,                 1.1128,                 2.2864,             0.00060151,             0.00060151,             0.00060151
